vertex_x,vertex_y,upper_slope,lower_slope,upper_intercept,lower_intercept,cone_angle_rad,cone_angle_deg,base_height_pixels,frame,time
440.83639372323216,281.6601901716182,-0.1362456574691532,0.10971441916112809,341.72223447077045,233.2940812891874,0.12236561723884495,7.011033425299086,132.83333333333334,112,0.0112
441.1518806799452,283.40979651195755,-0.13540673197648986,0.10899890192138,343.1447309801113,235.32472593729187,0.12159990355803545,6.967161263073273,116.16666666666669,113,0.011300000000000001
444.8991017078807,285.23793500838036,-0.13669214070282532,0.10929935108769315,346.0521456175946,236.61075189221143,0.12238109076605634,7.011919993102479,132.83333333333334,114,0.0114
447.0978196019692,287.0168045698584,-0.13693948777770462,0.10918187542072177,348.24215097268063,238.20182612919984,0.12244505826172465,7.015585060630294,133.16666666666666,115,0.0115
448.82981816252004,288.82429459520904,-0.1371387658724624,0.10891872614174718,350.3762619447788,239.93832254651537,0.12241359896344488,7.013782575612421,133.50000000000003,116,0.011600000000000001
450.8761903699689,290.60309819462964,-0.13730601375113488,0.10872928894055776,352.5111105896279,241.57965061547534,0.12240266971319136,7.013156375699651,133.66666666666666,117,0.0117
452.8732265145795,292.3857720989102,-0.13746474547191145,0.10854983456890165,354.63987491278016,243.22645828006785,0.12239246283886743,7.01257156487887,133.66666666666666,118,0.0118
455.16473219485727,294.1626022278362,-0.13770693554006533,0.10843964494813,356.8419426643045,244.8047002757152,0.12245747879168332,7.016296704576242,134.16666666666669,119,0.0119
271.29462670923465,106.77753652539008,-0.12710688855697094,0.11676549999132986,141.2609524086258,75.0996837927251,0.12133719548825865,6.9521091994310344,108.16666666666669,11,0.0011
455.72341025419587,295.8993520243076,-0.1367930564288176,0.10779548395701828,358.23915019914295,246.7744264654137,0.12169001018487606,6.972323992497401,117.33333333333334,120,0.012
459.2995186742211,297.76535135821365,-0.13815938008426484,0.10800115744048196,361.22188813124524,248.16047172954148,0.12246435317749385,7.01669057786993,134.50000000000003,121,0.012100000000000001
459.9031767360548,299.4820214595801,-0.137208635695248,0.10743012454075489,362.5847088914447,250.0745659061369,0.12171475002765272,6.973741481074321,118.49999999999997,122,0.0122
463.56835535841094,301.33635751925965,-0.1385734072939572,0.1076843563667648,365.57460403493064,251.4172975404895,0.12251224052533631,7.019434320793378,135.33333333333334,123,0.0123
464.35977732810215,303.06569767342785,-0.13766068497945022,0.10716680583270712,366.98978269731936,253.301743579988,0.12180772317520375,6.979068450037042,119.66666666666666,124,0.012400000000000001
466.4361085757832,304.87822540136347,-0.1379927528494703,0.10696352492021735,369.2430280521302,254.9865750780285,0.12187116546316983,6.982703425380151,121.16666666666666,125,0.0125
468.5370608343052,306.6898023927591,-0.13824427589650856,0.10677065055895785,371.46236909847596,256.6637955964983,0.12190005631368618,6.984358749181282,122.66666666666669,126,0.0126
470.7430356450367,308.4507415074827,-0.13838540003242036,0.1067128259213535,373.59470480769704,258.2164218910044,0.12194109001641239,6.986709807165289,124.00000000000003,127,0.012700000000000001
473.2650242749948,310.25497075948243,-0.1387918676804658,0.10664530105952576,375.94030738644994,259.78347976473185,0.12210805048056694,6.99627593710689,126.33333333333334,128,0.0128
475.4788715364864,312.06461979096616,-0.1390661815455824,0.10648359926348934,378.1876508611478,261.4339181760188,0.12216352075765584,6.999454149872505,127.66666666666669,129,0.0129
273.2329687434691,108.46498744891544,-0.12738777081901795,0.11707610285015885,143.27152625140837,76.47593629825082,0.12162859487892459,6.968805154668877,114.5,12,0.0012000000000000001
477.56157996640053,313.88486329159366,-0.13934322065573274,0.10627909569001036,380.4298319055522,263.13005043647206,0.12219924979897193,7.001501273145965,129.16666666666669,130,0.013000000000000001
479.65402163672906,315.677150677049,-0.1395227223393774,0.10611989084935017,382.599785556836,264.7763182555074,0.12220924741810726,7.0020740945275985,129.83333333333334,131,0.0131
482.0152205250454,317.4851145547756,-0.1399285645750922,0.10599825172740791,384.9328124661917,266.3923438731198,0.12234923481076469,7.01009478131191,132.0,132,0.0132
